POLLING STATION LOCATION,PNP Phillips Peter D.,JLP Prince Beverley ann marie,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
52 52A ST. ANDREW SETTLEMENT (CLINIC) 3,3,137,,,,3,143,65.30%,219,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
52 52B ST. ANDREW SETTLEMENT (CLINIC) 1,1,143,,,,3,147,67.12%,219,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
53 53 ST. ANDREW SETTLEMENT (CLINIC) 2,2,83,,,,2,87,61.70%,141,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
54 54 ST. ANDREW SETTLEMENT (CLINIC) 1,1,117,,,,2,120,65.93%,182,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
55 55 ST. ANDREW SETTLEMENT (CLINIC) 1,1,102,,,,1,104,47.93%,217,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
56 56A ST. ANDREW SETTLEMENT (CLINIC) 1,1,150,,,,3,154,65.81%,234,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
56 56B ST. ANDREW SETTLEMENT (CLINIC) 1,1,158,,,,1,160,68.09%,235,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
EPM 57 57 JEBB MEMORIAL BASIC SCHOOL 11,11,102,,,,1,114,71.70%,159,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
58 58A DELACREE PARK COMMUNITY CENTRE 12,12,57,,,,2,71,31.84%,223,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
58 58B DELACREE PARK COMMUNITY CENTRE 6,6,65,,,,1,72,32.14%,224,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
59 59 DELACREE PARK COMMUNITY CENTRE 12,12,112,,,,0,124,38.15%,325,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
60 60 DELACREE PARK COMMUNITY CENTRE 12,12,122,,,,1,135,35.16%,384,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
61 61 DELACREE PARK COMMUNITY CENTRE 12,12,119,,,,3,134,37.54%,357,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
62 62A GREENWICH ALL AGE SCHOOL 6,6,94,,,,3,103,47.47%,217,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
62 62B GREENWICH ALL AGE SCHOOL 5,5,106,,,,2,113,51.83%,218,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
63 63 GREENWICH ALL AGE SCHOOL 8,8,88,,,,2,98,57.65%,170,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
64 64 GREENWICH ALL AGE SCHOOL 9,9,100,,,,1,110,43.65%,252,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
65 65 GREENWICH ALL AGE SCHOOL 11,11,149,,,,1,161,48.64%,331,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
66 66 BLAKE'S BASIC SCHOOL 13,13,142,,,,4,159,45.17%,352,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
67 67 BLAKE'S BASIC SCHOOL 19,19,118,,,,2,139,43.71%,318,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
68 68 BLAKE'S BASIC SCHOOL 19,19,92,,,,3,114,42.07%,271,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
69 69 WESTERN UNITED BASIC SCHOOL 6,6,69,,,,1,76,42.70%,178,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
70 70 WESTERN UNITED BASIC SCHOOL 33,33,103,,,,2,138,36.60%,377,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
71 71A WESTERN UNITED BASIC SCHOOL 23,23,41,,,,1,65,30.95%,210,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
71 71B WESTERN UNITED BASIC SCHOOL 21,21,61,,,,0,82,39.05%,210,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
72 72A WESTERN UNITED BASIC SCHOOL 21,21,61,,,,1,83,39.15%,212,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
72 72B WESTERN UNITED BASIC SCHOOL 26,26,54,,,,0,80,37.74%,212,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
73 73A BLAKE'S BASIC SCHOOL,23,57,,,,1,81,38.76%,209,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
73 73B BLAKE'S BASIC SCHOOL,15,71,,,,1,87,41.63%,209,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
74 74 BLAKE'S BASIC SCHOOL,22,75,,,,1,98,36.03%,272,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
75 75 WESTERN UNITED BASIC SCHOOL,25,24,,,,4,53,33.13%,160,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
76 76 BLAKE'S BASIC SCHOOL,2,45,,,,0,47,56.63%,83,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
,,,,,,,,,,,,
POLLING STATION LOCATION,PNP Davies Omar Lloyd,JLP Messias Dennis Anthony ,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1 LYNDHURST METHODIST CHURCH HALL,117,6,,,,1,124,40.13%,309,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
2 2 LYNDHURST METHODIST CHURCH HALL,157,10,,,,2,169,43.67%,387,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
3 3 LYNDHURST BASIC SCHOOL,153,2,,,,1,156,43.82%,356,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
4 4 LYNDHURST METHODIST CHURCH HALL,108,6,,,,1,115,39.52%,291,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
5 5 LYNDHURST METHODIST CHURCH HALL,77,7,,,,1,85,39.72%,214,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
6 6 LYNDHURST METHODIST CHURCH HALL,122,7,,,,2,131,38.42%,341,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
7 7A THE PEOPLE'S CHURCH,56,12,,,,1,69,33.01%,209,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
7 7B THE PEOPLE'S CHURCH,66,8,,,,1,75,35.71%,210,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
8 8 THE PEOPLE'S CHURCH,142,10,,,,1,153,46.65%,328,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
9 9 THE PEOPLE'S CHURCH,134,9,,,,5,148,40.77%,363,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
10 10A LYNDHURST BASIC SCHOOL,94,4,,,,0,98,47.12%,208,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
10 10B LYNDHURST BASIC SCHOOL,96,4,,,,3,103,49.52%,208,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
11 11 CHARLIE SMITH HIGH SCHOOL,77,5,,,,0,82,47.13%,174,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
12 12 IRIS GELLY PRIMARY SCHOOL,104,2,,,,0,106,50.96%,208,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
13 13 IRIS GELLY PRIMARY SCHOOL,139,2,,,,2,143,58.85%,243,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
14 14 IRIS GELLY PRIMARY SCHOOL,182,1,,,,2,185,56.23%,329,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
15 15 IRIS GELLY PRIMARY SCHOOL,112,1,,,,2,115,53.74%,214,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
EPM 16 16 CHARLIE SMITH HIGH SCHOOL,58,9,,,,1,68,141.67%,48,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
17 17 CHARLIE SMITH HIGH SCHOOL,93,1,,,,2,96,60.76%,158,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
18 18 CHARLIE SMITH HIGH SCHOOL,78,4,,,,3,85,42.71%,199,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
19 19A CHURCH OF GOD SEVENTH DAY,97,2,,,,2,101,41.74%,242,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
19 19B CHURCH OF GOD SEVENTH DAY,120,2,,,,5,127,52.26%,243,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
20 20 CHARLIE SMITH HIGH SCHOOL,60,1,,,,1,62,51.24%,121,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
21 21 CHARLIE SMITH HIGH SCHOOL,159,2,,,,1,162,54.73%,296,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
22 22 CHARLIE SMITH HIGH SCHOOL,138,1,,,,0,139,56.73%,245,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
23 23 CHARLIE SMITH HIGH SCHOOL,183,3,,,,3,189,65.17%,290,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
24 24 CHARLIE SMIITH HIGH SCHOOL,192,2,,,,2,196,58.33%,336,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
25 25 CHARLIE SMITH HIGH SCHOOL,159,2,,,,1,162,51.10%,317,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
26 26 CHURCH OF GOD SEVENTH DAY,110,5,,,,0,115,38.33%,300,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
27 27 CHARLIE SMITH HIGH SCHOOL,156,1,,,,4,161,63.64%,253,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
28 28 CHARLIE SMITH HIGH SCHOOL,176,1,,,,2,179,63.48%,282,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
29 29 CHARLIE SMITH HIGH SCHOOL,223,0,,,,4,227,62.71%,362,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
30 30 HOLINESS CHRISTIAN CHURCH - OFFICE,42,47,,,,5,94,38.06%,247,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
31 31 HOLINESS CHRISTIAN CHURCH - OFFICE,3,110,,,,3,116,43.77%,265,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
32 32 HOLINESS CHRISTIAN CHURCH - OFFICE,2,145,,,,3,150,43.73%,343,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
33 33A HOLINESS CHRISTIAN CHURCH,6,91,,,,0,97,45.33%,214,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
33 33B HOLINESS CHRISTIAN CHURCH,7,74,,,,3,84,39.07%,215,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
34 34 HOLINESS CHRISTIAN CHURCH,3,49,,,,2,54,54.00%,100,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
35 35 TRENCH TOWN POLYTECHNICAL COLLEGE,66,10,,,,2,78,30.00%,260,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
37 37 TRENCH TOWN POLYTECHNICAL COLLEGE,93,11,,,,4,108,37.63%,287,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
38 38 TRENCH TOWN POLYTECHNICAL COLLEGE,50,21,,,,2,73,21.28%,343,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
39 39 TRENCH TOWN POLYTECHNICAL COLLEGE,34,30,,,,0,64,25.10%,255,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
40 40 TRENCH TOWN POLYTECHNICAL COLLEGE,89,42,,,,1,132,33.25%,397,ST. ANDREW SOUTHERN (9),TRENCH TOWN (23),
41 41A BOYS TOWN HEART ACADEMY,35,50,,,,1,86,41.15%,209,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
41 41B BOYS TOWN HEART ACADEMY,33,47,,,,3,83,39.52%,210,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
42 42 BOYS TOWN HEART ACADEMY,19,63,,,,1,83,34.73%,239,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
43 43 BOYS TOWN HEART ACADEMY,32,56,,,,1,89,34.63%,257,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
44 44 BOYS TOWN HEART ACADEMY,1,10,,,,0,11,22.00%,50,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
50 50 BOYS TOWN HEART ACADEMY,44,36,,,,0,80,31.37%,255,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
51 51 BOYS TOWN HEART ACADEMY,81,39,,,,0,120,39.22%,306,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
52 52 JONES TOWN PRIMARY SCHOOL,148,3,,,,2,153,49.20%,311,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
53 53 JONES TOWN PRIMARY SCHOOL,137,0,,,,2,139,50.36%,276,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
54 54 JONES TOWN PRIMARY SCHOOL,89,0,,,,2,91,52.91%,172,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
55 55 JONES TOWN PRIMARY SCHOOL,249,0,,,,3,252,66.67%,378,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
56 56A JONES TOWN PRIMARY SCHOOL,113,2,,,,1,116,56.04%,207,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
56 56B JONES TOWN PRIMARY SCHOOL,112,4,,,,1,117,56.25%,208,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
57 57 JONES TOWN PRIMARY SCHOOL,121,1,,,,2,124,54.15%,229,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
58 58 KINGSTON RESTORATION CENTER,192,3,,,,4,199,49.87%,399,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
59 59 JONES TOWN PRIMARY SCHOOL,136,4,,,,4,144,62.34%,231,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
60 60 JONES TOWN PRIMARY SCHOOL,128,1,,,,6,135,59.47%,227,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
61 61 JACKSON'S BASIC SCHOOL,99,0,,,,1,100,52.36%,191,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
62 62 JONES TOWN PRIMARY SCHOOL,140,1,,,,0,141,61.84%,228,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
63 63A ST. SIMON BASIC SCHOOL,136,1,,,,6,143,55.21%,259,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
63 63B ST. SIMON BASIC SCHOOL,127,2,,,,0,129,49.62%,260,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
64 64 JONES TOWN CHURCH OF GOD,154,2,,,,1,157,56.88%,276,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
65 65 JONES TOWN CHURCH OF GOD,191,5,,,,3,199,51.03%,390,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
66 66 JACKSON'S BASIC SCHOOL,169,2,,,,3,174,48.74%,357,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
67 67 ST. SIMON BASIC SCHOOL,175,4,,,,6,185,47.07%,393,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
EPM 68 68 KINGSTON RESTORATION CENTER,250,12,,,,4,266,248.60%,107,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
69 69 ST. SIMON BASIC SCHOOL,154,1,,,,0,155,47.26%,328,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
70 70 ST. SIMON BASIC SCHOOL,171,1,,,,2,174,49.29%,353,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
71 71 JONES TOWN CHURCH OF GOD,100,1,,,,1,102,45.95%,222,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
72 72 JACKSON'S BASIC SCHOOL,170,1,,,,2,173,61.13%,283,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
73 73A ENID ANGLIN COMMUNITY CENTRE,97,3,,,,1,101,49.51%,204,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
73 73B ENID ANGLIN COMMUNITY CENTRE,102,2,,,,1,105,51.22%,205,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
74 74 ENID ANGLIN COMMUNITY CENTRE,119,4,,,,1,124,40.00%,310,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
75 75 TORRINGTON UNITED CHURCH,107,4,,,,2,113,44.49%,254,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
76 76 TORRINGTON UNITED CHURCH,78,13,,,,1,92,40.00%,230,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
77 77 IRIS GELLY PRIMARY SCHOOL,174,1,,,,5,180,55.56%,324,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
78 78 IRIS GELLY PRIMARY SCHOOL,145,1,,,,4,150,52.26%,287,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
79 79 TORRINGTON UNITED CHURCH,54,14,,,,3,71,22.19%,320,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
80 80 TORRINGTON UNITED CHURCH,97,10,,,,1,108,42.19%,256,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
81 81 ST. LUKES CHURCH,48,11,,,,0,59,25.00%,236,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
82 82A ST. LUKES CHURCH,47,19,,,,0,66,32.20%,205,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
82 82B ST. LUKES CHURCH,48,14,,,,0,62,30.10%,206,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
83 83 ENID ANGLIN COMMUNITY CENTRE,123,4,,,,1,128,54.47%,235,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
84 84 ENID ANGLIN COMMUNITY CENTRE,153,6,,,,1,160,56.34%,284,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
,,,,,,,,,,,,
POLLING STATION LOCATION,JLP Collie Chaplton E,MGPPP Mathews Horace Hugo,PNP Robinson Julian Jay,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1 KINGS GATE PREPARATORY SCHOOL,57,0,54,,,0,111,47.23%,235,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
2 2 KINGS GATE PREPARATORY SCHOOL,41,0,49,,,1,91,68.94%,132,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
3 3 KINGS GATE PREPARATORY SCHOOL,46,0,39,,,1,86,56.95%,151,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
4 4 KINGS GATE CHURCH HALL,90,1,89,,,0,180,49.05%,367,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
5 5 KINGS GATE CHURCH HALL,33,0,63,,,2,98,50.00%,196,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
6 6 ANDREWS MEMORIAL CHURCH,29,0,30,,,0,59,52.21%,113,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
7 7 ANDREWS MEMORIAL CHURCH,24,0,36,,,0,60,46.15%,130,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
8 8 ANDREWS MEMORIAL CHURCH,69,2,70,,,3,144,51.25%,281,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
9 9 ANDREW MEMORIAL CHURCH,65,0,69,,,3,137,53.52%,256,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
10 10 JAYCEES HEADQUARTERS,49,1,51,,,2,103,46.19%,223,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
11 11 JAYCEES HEADQUARTERS,87,2,67,,,0,156,52.88%,295,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
12 12 NATIONAL ARENA,25,0,58,,,1,84,40.58%,207,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
13 13 NATIONAL ARENA,41,0,52,,,2,95,46.34%,205,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
14 14 NATIONAL ARENA,53,0,100,,,2,155,52.72%,294,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
15 15 NATIONAL ARENA,49,0,50,,,5,104,47.71%,218,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
16 16A EXMINATION DEPOT,18,0,85,,,2,105,47.09%,223,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
16 16B EXMINATION DEPOT,31,0,76,,,4,111,49.55%,224,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
17 17 EXMINATION DEPOT,15,0,32,,,0,47,33.33%,141,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
18 18 EXMINATION DEPOT,70,0,108,,,3,181,47.76%,379,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
EPM 19 19 JAYCEES HEADQUARTERS,119,1,340,,,3,463,771.67%,60,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
EPM 20 20 COVENANT CITY CHURCH,68,0,99,,,3,170,209.88%,81,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
21 21 COVENANT CITY CHURCH,57,0,71,,,0,128,44.76%,286,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
22 22 JAYCEES HEADQUARTERS,46,0,37,,,0,83,52.20%,159,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
23 23 KINGSTON SCHOOL OF NURSING,47,0,115,,,3,165,50.46%,327,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
24 24 KINGSTON SCHOOL OF NURSING,50,0,54,,,0,104,42.45%,245,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
25 25 JAYCEES HEADQUARTERS,40,1,56,,,0,97,48.02%,202,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
26 26 ST. FRANCIS PRIMARY SCHOOL,26,1,35,,,3,65,35.52%,183,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
27 27 ST. FRANCIS PRIMARY SCHOOL,26,1,38,,,2,67,44.97%,149,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
28 28 MICO PRACTISING PRIMARY AND JUNIOR HIGH,9,0,92,,,5,106,49.07%,216,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
29 29 MICO PRACTISING PRIMARY AND JUNIOR HIGH,6,1,136,,,2,145,52.73%,275,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
30 30 CAENWOOD CENTRE,70,1,36,,,2,109,49.32%,221,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
31 31 CAENWOOD CENTRE,18,0,65,,,4,87,49.71%,175,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
32 32 CAENWOOD CENTRE,84,0,32,,,1,117,52.23%,224,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
33 33 SCOUT HEADQUARTERS,78,2,48,,,4,132,49.25%,268,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
34 34 SCOUT HEADQUARTERS,45,0,40,,,0,85,38.81%,219,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
35 35 SCOUT HEADQUARTERS,76,0,19,,,0,95,51.91%,183,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
36 36 EXED COMMUNITY COLLEGE,52,0,20,,,4,76,46.34%,164,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
37 37 EXED COMMUNITY COLLEGE,16,0,84,,,2,102,62.96%,162,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
38 38 EXED COMMUNITY COLLEGE,23,0,42,,,2,67,48.20%,139,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
39 39 EXED COMMUNITY COLLEGE,52,2,72,,,2,128,53.56%,239,ST. ANDREW SOUTH EASTERN (10),TRAFALGAR (25),
"40 40A J.D.F., HARMAN BARRACK MOBILE RESERVE",5,0,15,,,0,20,4.69%,426,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
"40 40B J.D.F., HARMAN BARRACK MOBILE RESERVE",15,0,15,,,0,30,7.03%,427,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
"41 41A J.D.F., HARMAN BARRACK MOBILE RESERVE",15,0,20,,,3,38,8.09%,470,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
"41 41B J.D.F., HARMAN BARRACK MOBILE RESERVE",16,0,22,,,0,38,8.07%,471,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
42 42 STADIUM GARDENS COMMUNITY CENTRE,24,0,54,,,2,80,47.90%,167,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
43 43 STADIUM GARDENS COMMUNITY CENTRE,35,0,31,,,3,69,34.85%,198,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
44 44 SIR HOWARD COOKE CENTRE,13,1,199,,,5,218,55.33%,394,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
45 45 SIR HOWARD COOK CENTRE,3,0,66,,,0,69,57.50%,120,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
46 46 SIR HOWARD COOKE CENTRE,1,0,156,,,2,159,60.92%,261,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
47 47 SIR HOWARD COOKE CENTRE,7,0,140,,,1,148,51.93%,285,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
48 48 SIR HOWARD COOKE CENTRE,2,1,166,,,3,172,56.03%,307,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
49 49 NANNYVILLE COMMUNITY CENTRE,1,0,113,,,3,117,65.00%,180,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
50 50 NANNYVILLE COMMUNITY CENTRE,2,1,175,,,8,186,60.19%,309,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
51 51 NANNYVILLE COMMUNITY CENTRE,1,0,39,,,0,40,62.50%,64,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
52 52 NANNYVILLE COMMUNITY CENTRE,3,0,154,,,3,160,57.76%,277,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
53 53 NANNYVILLE COMMUNITY CENTRE,2,0,71,,,1,74,60.16%,123,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
54 54 CHRIST CHURCH HALL,45,1,46,,,0,92,33.95%,271,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
55 55 CHRIST CHURCH HALL,54,0,59,,,0,113,42.16%,268,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
56 56 CHRIST CHURCH HALL,18,1,26,,,0,45,33.09%,136,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
57 57 CHRIST CHURCH HALL,37,1,66,,,2,106,39.55%,268,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
58 58 CHRIST CHURCH HALL,31,0,27,,,1,59,38.06%,155,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
59 59 EVANGEL TEMPLE,58,0,25,,,0,83,38.79%,214,ST. ANDREW SOUTH EASTERN (10),VINEYARD TOWN (26),
